Beekeeper	beekeeper
Bitwarden	bitwarden
Blender	blender
Bluetooth Manager	blueman-manager
btop	btop
CMake GUI	cmake-gui
Disk Usage Analyzer	org.gnome.baobab
File Roller	org.gnome.FileRoller
Files (Nemo)	nemo
Fragments	de.haeckerfelix.Fragments
GNU Radio Companion	gnuradio-grc
Heroic Game Launcher	heroic
Kid3	org.kde.kid3
Kitty	kitty
Legcord	legcord
mGBA	io.mgba.mGBA
mpv	mpv
ncmpcpp	ncmpcpp
Notion	notion
Obsidian	obsidian
OBS Studio	com.obsproject.Studio
Pinta	pinta
Piper	org.freedesktop.Piper
Postman	postman
PrismLauncher	org.prismlauncher.PrismLauncher
PulseAudio Volume Control	org.pulseaudio.pavucontrol
Qalculate	qalculate-gtk
Spotify	spotify
Steam	steam
Visual Studio Code	code
Vivaldi	vivaldi-stable
VLC	vlc
Warp	dev.warp.Warp
Zoom	Zoom
